BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
M001197;HON. MARTHA MCSALLY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0478031;ACE GRAPHICS;12/19/2016;12/19/2016;PRINTING & REPRODUCTION;792.57;2016;ACE GRAPHICS
M001197;HON. MARTHA MCSALLY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0478032;ACCURATE WORD LLC;12/22/2016;12/22/2016;PRINTING & REPRODUCTION;999.25;2016;ACCURATE WORD LLC
M001197;HON. MARTHA MCSALLY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.07.17;AP;E0485411;XEROX CORPORATION;9/30/2016;12/21/2016;PRINTING & REPRODUCTION;670.55;2016;XEROX CORPORATION
M001197;HON. MARTHA MCSALLY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;166.51;2016;PUBLIC PRINTER
M001187;HON. MARK MEADOWS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484574;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;249.85;2017;ACCURATE WORD LLC
M001187;HON. MARK MEADOWS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490423;ACCURATE WORD LLC;02.06.17;02.06.17;PRINTING & REPRODUCTION;41.9;2017;ACCURATE WORD LLC
M001187;HON. MARK MEADOWS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490425;ACCURATE WORD LLC;02.01.17;02.01.17;PRINTING & REPRODUCTION;147.75;2017;ACCURATE WORD LLC
M001187;HON. MARK MEADOWS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-FEDEXOFFICE;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;337.7;2016;CITI PCARD-FEDEXOFFICE
M001187;HON. MARK MEADOWS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/31/2017;AP;E0480226;YELINSKI CHAD A.;12.09.16;12.09.16;PRINTING & REPRODUCTION;59.09;2016;YELINSKI CHAD A.
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486206;ACCURATE WORD LLC;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;139.9;2017;ACCURATE WORD LLC
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.03.17;01.03.17;PRINTING & REPRODUCTION;243.02;2017;PUBLIC PRINTER
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;969.72;2017;PUBLIC PRINTER
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;907586;PUBLIC PRINTER;01.03.17;01.03.17;PRINTING & REPRODUCTION;-243.02;2017;PUBLIC PRINTER
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;907586;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;-969.72;2017;PUBLIC PRINTER
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0495112;OMNI BUSINESS SYSTEMS INC - FAXPLUS INC;01.01.17;1/31/2017;PRINTING & REPRODUCTION;86.83;2017;OMNI BUSINESS SYSTEMS INC - FAXPLUS INC
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;907586;PUBLIC PRINTER;12.03.16;12.03.16;PRINTING & REPRODUCTION;243.02;2016;PUBLIC PRINTER
M001181;HON. PATRICK MEEHAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;907586;PUBLIC PRINTER;12/19/2016;12/19/2016;PRINTING & REPRODUCTION;969.72;2016;PUBLIC PRINTER
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487960;ACCURATE WORD LLC;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487961;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487953;ACCURATE WORD LLC;11/17/2016;11/17/2016;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0487512;UA GALLERY;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;450;2016;UA GALLERY
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0487956;XEROX CORPORATION;9/21/2016;10/21/2016;PRINTING & REPRODUCTION;64.24;2016;XEROX CORPORATION
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0487957;XEROX CORPORATION;10/21/2016;11/21/2016;PRINTING & REPRODUCTION;13.97;2016;XEROX CORPORATION
M001137;HON. GREGORY W. MEEKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;E0494469;XEROX CORPORATION;11/21/2016;12/30/2016;PRINTING & REPRODUCTION;41.18;2016;XEROX CORPORATION
M001188;HON. GRACE MENG;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486941;DAVID L ANDRUKITIS INC;02.08.17;02.08.17;PRINTING & REPRODUCTION;67;2017;DAVID L ANDRUKITIS INC
M001188;HON. GRACE MENG;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/18/2017;AP;E0478728;XEROX CORPORATION;10/21/2016;11/21/2016;PRINTING & REPRODUCTION;166.25;2016;XEROX CORPORATION
M001188;HON. GRACE MENG;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0491941;XEROX CORPORATION;11/21/2016;12/30/2016;PRINTING & REPRODUCTION;185.4;2016;XEROX CORPORATION
M001188;HON. GRACE MENG;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0491943;XEROX CORPORATION;9/30/2016;12/21/2016;PRINTING & REPRODUCTION;136.98;2016;XEROX CORPORATION
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/20/2017;AP;E0479099;ACCURATE WORD LLC;01.06.17;01.06.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0483431;ACCURATE WORD LLC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.03.17;AP;E0490320;ACCURATE WORD LLC;02.07.17;02.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;02.01.17;02.01.17;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.05.17;AP;E0473483;MARION RACHOR MEAKEM;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;50;2016;MARION RACHOR MEAKEM
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/20/2017;AP;E0479081;XEROX CORPORATION;10/30/2016;12/16/2016;PRINTING & REPRODUCTION;15.45;2016;XEROX CORPORATION
M001189;HON. LUKE MESSER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0492241;XEROX CORPORATION;12/16/2016;12/30/2016;PRINTING & REPRODUCTION;1.01;2016;XEROX CORPORATION
M001150;HON. CANDICE S. MILLER;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474742;THE DIGITAL DOCUMENT STORE;11.01.16;11/30/2016;PRINTING & REPRODUCTION;48.14;2016;THE DIGITAL DOCUMENT STORE
M001201;HON. PAUL MITCHELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/31/2017;AP;E0482358;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;299.55;2017;ACCURATE WORD LLC
M001201;HON. PAUL MITCHELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484601;ACCURATE WORD LLC;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;179.7;2017;ACCURATE WORD LLC
M001201;HON. PAUL MITCHELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;E0492773;ACCURATE WORD LLC;2/17/2017;2/17/2017;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
M001201;HON. PAUL MITCHELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0498313;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;159.8;2017;ACCURATE WORD LLC
M001201;HON. PAUL MITCHELL;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0498312;GREGORY MARTINKO;2/13/2017;2/13/2017;PRINTING & REPRODUCTION;325;2017;GREGORY MARTINKO
M001194;HON. JOHN R. MOOLENAAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/15/2017;AP;E0476625;ACCURATE WORD LLC;01.04.17;01.04.17;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
M001194;HON. JOHN R. MOOLENAAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/31/2017;AP;E0480746;ACCURATE WORD LLC;01.12.17;01.12.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001194;HON. JOHN R. MOOLENAAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.07.17;AP;E0483227;ACCURATE WORD LLC;1/17/2017;1/17/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
M001194;HON. JOHN R. MOOLENAAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;02.01.17;02.01.17;PRINTING & REPRODUCTION;484.86;2017;PUBLIC PRINTER
M001194;HON. JOHN R. MOOLENAAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;E0499019;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0490333;ACCURATE WORD LLC;02.08.17;02.08.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/23/2017;AP;E0499475;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/23/2017;AP;E0499477;ACCURATE WORD LLC;03.03.17;03.03.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/27/2017;AP;E0498777;CITIZEN DIALOG LLC;03.01.17;03.01.17;PRINTING & REPRODUCTION;13950;2017;CITIZEN DIALOG LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500912;ACCURATE WORD LLC;03.10.17;03.10.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;02.06.17;02.06.17;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
M001195;HON. ALEXANDER X. MOONEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490334;BSL GEM LASER EXPRESS LLC;10.01.16;12/31/2016;PRINTING & REPRODUCTION;149.84;2016;BSL GEM LASER EXPRESS LLC
M001160;HON. GWEN MOORE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0493499;ACCURATE WORD LLC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;230;2017;ACCURATE WORD LLC
M001160;HON. GWEN MOORE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.06.17;AP;E0482597;ACCURATE WORD LLC;12.12.16;12.12.16;PRINTING & REPRODUCTION;120;2016;ACCURATE WORD LLC
M001160;HON. GWEN MOORE;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.05.17;AP;E0492110;LETTERPRESS INC;12.08.16;12.08.16;PRINTING & REPRODUCTION;1013;2016;LETTERPRESS INC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/23/2017;AP;E0480615;ACCURATE WORD LLC;01.10.17;01.10.17;PRINTING & REPRODUCTION;2959.99;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0485158;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;79.95;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0485169;ACCURATE WORD LLC;1/25/2017;1/25/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.07.17;AP;E0485162;ACCURATE WORD LLC;01.06.17;01.06.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;902375;ACCURATE WORD LLC;01.10.17;01.10.17;PRINTING & REPRODUCTION;-2959.99;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0488735;ACCURATE WORD LLC;02.08.17;02.08.17;PRINTING & REPRODUCTION;79.9;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.01.17;AP;E0492462;ACCURATE WORD LLC;02.03.17;02.03.17;PRINTING & REPRODUCTION;79.95;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/20/2017;AP;E0498303;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/22/2017;AP;E0499545;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;51.9;2017;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.03.17;AP;E0474585;ACCURATE WORD LLC;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;349;2016;ACCURATE WORD LLC
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.12.17;AP;897337;JARED CHARNEY;12.07.16;12.07.16;PRINTING & REPRODUCTION;2125;2016;JARED CHARNEY
M001196;HON. SETH MOULTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;902375;ACCURATE WORD LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;2959.99;2016;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;E0479800;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0487470;ACCURATE WORD LLC;02.06.17;02.06.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;96.32;2017;PUBLIC PRINTER
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;E0489373;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0489371;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493472;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493480;PREFERRED BUSINESS SYSTEMS LLC;02.02.17;03.02.17;PRINTING & REPRODUCTION;30.62;2017;PREFERRED BUSINESS SYSTEMS LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/17/2017;AP;E0497122;ACCURATE WORD LLC;03.06.17;03.06.17;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0499343;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;89.9;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0499358;ACCURATE WORD LLC;03.07.17;03.07.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/24/2017;AP;E0499359;ACCURATE WORD LLC;03.08.17;03.08.17;PRINTING & REPRODUCTION;214;2017;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.12.17;01.12.17;PRINTING & REPRODUCTION;243.02;2017;PUBLIC PRINTER
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.05.17;AP;E0474696;ACCURATE WORD LLC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
M001190;HON. MARKWAYNE MULLIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;E0479803;ACCURATE WORD LLC;12/22/2016;12/22/2016;PRINTING & REPRODUCTION;251;2016;ACCURATE WORD LLC
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;71.65;2017;PUBLIC PRINTER
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;E0492135;UNITED BUSINESS TECHNOLOGIES;01.01.17;1/31/2017;PRINTING & REPRODUCTION;8.69;2017;UNITED BUSINESS TECHNOLOGIES
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/15/2017;AP;E0495094;UNITED BUSINESS TECHNOLOGIES;01.01.17;1/31/2017;PRINTING & REPRODUCTION;182.63;2017;UNITED BUSINESS TECHNOLOGIES
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.03.17;AP;E0471064;UNITED BUSINESS TECHNOLOGIES;11.01.16;11/30/2016;PRINTING & REPRODUCTION;159.13;2016;UNITED BUSINESS TECHNOLOGIES
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.03.17;AP;E0471068;UNITED BUSINESS TECHNOLOGIES;11.01.16;11/30/2016;PRINTING & REPRODUCTION;7.6;2016;UNITED BUSINESS TECHNOLOGIES
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-SQ  SQ  SULLY FRAMING;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;368.25;2016;CITI PCARD-SQ  SQ  SULLY FRAMING
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0483497;UNITED BUSINESS TECHNOLOGIES;12.01.16;12/31/2016;PRINTING & REPRODUCTION;8.69;2016;UNITED BUSINESS TECHNOLOGIES
M001182;HON. MICK MULVANEY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/17/2017;AP;909696;ACCURATE WORD LLC;11.08.16;11.08.16;PRINTING & REPRODUCTION;29.95;2016;ACCURATE WORD LLC
M001202;HON. STEPHANIE N. MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;907636;DAVID L ANDRUKITIS INC;03.06.17;03.06.17;PRINTING & REPRODUCTION;57.5;2017;DAVID L ANDRUKITIS INC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0479532;ACCURATE WORD LLC;01.11.17;01.11.17;PRINTING & REPRODUCTION;164.95;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0488706;FEDEX OFFICE AND PRINT SERVICES INC;1/25/2017;1/25/2017;PRINTING & REPRODUCTION;129.6;2017;FEDEX OFFICE AND PRINT SERVICES INC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0494774;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;189.9;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0494793;ACCURATE WORD LLC;2/17/2017;2/17/2017;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0494798;ACCURATE WORD LLC;2/28/2017;2/28/2017;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/15/2017;AP;E0497398;ACCURATE WORD LLC;03.08.17;03.08.17;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/20/2017;AP;E0498825;ACCURATE WORD LLC;03.10.17;03.10.17;PRINTING & REPRODUCTION;94.95;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0501520;ACCURATE WORD LLC;3/21/2017;3/21/2017;PRINTING & REPRODUCTION;379.8;2017;ACCURATE WORD LLC
M001151;HON. TIM MURPHY;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;243.02;2017;PUBLIC PRINTER
